BookURI	BookCats	BookID	BookTitle	AuthorID	AuthorNam	EditorID	EditorNam	TranslID	TranslNam	BookRel
1330YacqubSanuc.AmiraIskandaraniyya.Hindawi60591692	plays	60591692	الأميرة الإسكندرانية	63907360	يعقوب صنوع	None	None	None	None	None
1330YacqubSanuc.BursatMisr.Hindawi51692820	plays	51692820	بورصة مصر	63907360	يعقوب صنوع	None	None	None	None	None
1330YacqubSanuc.Calil.Hindawi83131508	plays	83131508	العليل	63907360	يعقوب صنوع	None	None	None	None	None
1330YacqubSanuc.Darratayn.Hindawi70906974	plays	70906974	الدرتين	63907360	يعقوب صنوع	None	None	None	None	None
1330YacqubSanuc.MoliereMisr.Hindawi36308593	plays	36308593	موليير مصر وما يقاسيه	63907360	يعقوب صنوع	None	None	None	None	None
1330YacqubSanuc.Sadaqa.Hindawi85972409	plays	85972409	الصداقة	63907360	يعقوب صنوع	None	None	None	None	None
1331IbnAminShinqiti.MucallaqatCashar.Hindawi39141640	poetry :: literary.criticism	39141640	المعلقات العشر وأخبار شعرائها	81308403	أحمد بن الأمين الشنقيطي	None	None	None	None	None
1331JurjiZaydan.AbuMuslimKhurasani.Hindawi41728357	novels	41728357	أبو مسلم الخراساني	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.AhmadIbnTulun.Hindawi91708090	novels	91708090	أحمد بن طولون	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.AminWaMamun.Hindawi75919582	novels	75919582	الأمين والمأمون	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.AnsabCarabQudama.Hindawi46809285	social.sciences	46809285	أنساب العرب القدماء: وهو رد على القائلين بالأمومة والطوتمية عند العرب الجاهلية	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.ArmanusaMisriyya.Hindawi71858151	novels	71858151	أرمانوسة المصرية	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.AsirMutamahdi.Hindawi29513059	novels	29513059	أسير المتمهدي	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.CabbasaUkhtRashid.Hindawi81504027	novels	81504027	العباسة أخت الرشيد	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.CabdRahmanNasir.Hindawi74268029	novels	74268029	عبد الرحمن الناصر	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.CadhraQuraysh.Hindawi92527518	novels	92527518	عذراء قريش	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.CarusFarghana.Hindawi36379464	novels	36379464	عـروس فرغانة	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.CilmFirasaHadith.Hindawi51375931	philosophy	51375931	علم الفراسة الحديث	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.FatatGhassan.Hindawi59429042	novels	59429042	فتاة غسَّان	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.FatatQayruwan.Hindawi69729647	novels	69729647	فتاة القيروان	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.FathAndalus.Hindawi40915851	novels	40915851	فتح الأندلس	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.GhadatKarbala.Hindawi13604281	novels	13604281	غَادَةُ كرْبَلاء	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.HajjajIbnYusuf.Hindawi13595164	novels	13595164	الحجاج بن يوسف	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.InqilabCuthmani.Hindawi26938058	novels	26938058	الانقلاب العثماني	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.IstibdadMamalik.Hindawi92031406	novels	92031406	استبداد المماليك	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.JihadMuhibbin.Hindawi31641375	novels	31641375	جهاد المحبين	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.KhulasatTarikhYunanWaRuman.Hindawi20281730	history	20281730	خلاصة تاريخ اليونان والرومان	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.LughaCarabiyya.Hindawi46813707	linguistics	46813707	اللغة العربية كائن حي	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.MamlukSharid.Hindawi81407240	novels	81407240	المملوك الشارد	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.MisrCuthmaniyya.Hindawi60938635	history	60938635	مصر العثمانية	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.Ramadan17.Hindawi96940275	novels	96940275	١٧ رمضان	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.RihlaIlaUrubba.Hindawi35058486	travel.literature	35058486	رحلة إلى أوروبا ١٩١٢‎	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.SalahDinAyyubi.Hindawi39482082	novels	39482082	صـلاح الـدين الأيـوبي	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.ShajaratDurr.Hindawi83513693	novels	83513693	شجرة الدر	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.SharlWaCabdRahman.Hindawi61641316	novels	61641316	شارل وعبد الرحمن	40590249	جُرجي زيدان	None	None	None	None	None
1331JurjiZaydan.TarajimMashahir01.Hindawi49464279	history	49464279	تراجم مشاهير الشرق في القرن التاسع عشر (الجزء الأول)	40590249	جُرجي زيدان	None	None	None	None	None
